char,sim
𣙪,"['麻', '𥢂', '栜', '襋', '橛', '楝', '𣟩', '𥟈', '𢠩', '𧫼', '菻', '惏', '𢵳', '梀', '痳', '櫪', '樠', '械', '椾', '𥊚']"
𣙫,"['柆', '𥼕', '𧙀', '梪', '莅', '𥺺', '𢘮', '𣛩', '𡸏', '蒞', '笠', '栏', '拉', '𡓆', '椊', '桱', '椪', '桎', '𣐴', '𣒣']"
𣙬,"['膘', '骠', '屧', '瑮', '𢀮', '慄', '蹗', '旚', '𨆺', '薸', '顠', '剽', '頓', '壞', '鄛', '壙', '嫖', '罤', '镖', '馐']"
𣙭,"['𣖞', '橙', '榿', '椁', '榙', '𣛱', '梧', '𣒣', '橬', '桰', '櫡', '格', '𣔠', '桮', '槨', '蓓', '楛', '𥠻', '褡', '褣']"
𣙮,"['𣟩', '橛', '檽', '櫅', '榳', '㭽', '𣔤', '櫥', '梳', '楴', '檣', '𣜳', '𣟫', '櫪', '樆', '欄', '𣙪', '樤', '橱', '楝']"
𣙯,"['椎', '𩠳', '榧', '𢶾', '攡', '㰙', '槯', '推', '惟', '榷', '䧺', '樅', '𠐸', '𦟿', '稚', '𣼭', '摊', '堆', '碓', '櫂']"
𣙷,"['蓧', '𢟨', '𢳠', '𣗪', '𥕊', '㮠', '𢵭', '搽', '𣔟', '蒣', '蓀', '薐', '榇', '褡', '㨲', '𢴉', '𦵠', '榛', '𦼟', '蒤']"
𣙸,"['𣖠', '蒓', '𢱞', '𦲵', '㮠', '磋', '蔝', '𢱝', '硃', '𦷬', '萂', '莅', '𣔟', '𥟂', '楢', '蔇', '𥟼', '蒞', '蕻', '𥑶']"
𣙹,"['踈', '𥈵', '頼', '賴', '陳', '規', '緄', '梘', '頫', '谰', '𨻬', '欶', '親', '𨅂', '𨁍', '邾', '堒', '隄', '視', '覷']"
𣙺,"['𥢄', '椶', '㯶', '傻', '𢠧', '梭', '𣠺', '杸', '柊', '𣛱', '忮', '椄', '𢙵', '棳', '𣟮', '捘', '𣞍', '榩', '梾', '椳']"
𣚮,"['𣘂', '槳', '摃', '撎', '擯', '攅', '搷', '檠', '填', '堷', '桀', '撌', '榘', '𢶶', '墳', '檳', '槕', '籟', '栠', '尞']"
𣚽,"['𣖞', '梧', '𣛱', '棓', '㭼', '椅', '槢', '楂', '檣', '𣞍', '楛', '榙', '棤', '橬', '褡', '桔', '樯', '櫅', '蓓', '梏']"
𣛜,"['襍', '樵', '穕', '集', '𢵸', '槕', '禖', '𥛲', '礁', '榫', '磼', '𣟄', '楳', '憔', '檇', '楪', '檪', '棋', '樔', '櫀']"
𣛟,"['椲', '橕', '㭳', '檡', '撑', '𢲟', '楟', '榉', '樥', '樽', '榟', '愺', '桴', '緯', '犎', '悼', '悖', '幛', '桻', '橝']"
𣛠,"['檟', '樻', '櫍', '橮', '樌', '𡮨', '𣗼', '𢤞', '𢵯', '梖', '𣖜', '櫝', '慣', '𧜘', '𨊋', '鄮', '𢣆', '𢷴', '𪬡', '橍']"
𣛡,"['櫓', '楀', '槽', '棟', '㯮', '構', '梅', '磄', '橑', '橫', '横', '橹', '𣟄', '櫉', '檇', '禟', '樆', '樚', '櫔', '梀']"
𣛢,"['櫆', '椰', '櫚', '橍', '榧', '𣗿', '梛', '𥚅', '撋', '榔', '𥜀', '橺', '𣑌', '㯮', '棍', '𨄂', '𣛣', '槌', '𣕃', '櫬']"
𣛣,"['欄', '橌', '橺', '橍', '櫊', '櫚', '櫩', '椚', '襇', '椭', '郴', '柵', '攔', '𤛞', '榈', '憪', '𣠰', '椆', '樽', '樃']"
𣛤,"['棵', '粿', '𣡙', '綶', '顆', '檪', '橾', '裸', '稞', '躶', '颗', '槕', '椳', '果', '骒', '棣', '楝', '課', '喿', '株']"
𣛥,"['𢴾', '𠖤', '𤮑', '𨼚', '𨅥', '𠎩', '𢚁', '摅', '慫', '攄', '𩙻', '憇', '𣊾', '𢴑', '態', '㮩', '檇', '𡮒', '杺', '梞']"
𣛦,"['橢', '椭', '𣙦', '旅', '游', '椸', '𢭿', '𢲯', '𢸜', '樤', '𢢊', '桢', '栫', '𣟪', '橑', '𧛶', '旂', '𢵌', '𣘊', '㭳']"
𣛧,"['𡑓', '森', '林', '𢵳', '崊', '惏', '𤊩', '𠎊', '菻', '綝', '𦝃', '棶', '𡍚', '晽', '𣘆', '樷', '諃', '𨅾', '枺', '𣙪']"
𣛨,"['𢢅', '𢴿', '欛', '𠎫', '棹', '𣛣', '𣗑', '楜', '樽', '棚', '榑', '槨', '謿', '𣛭', '檊', '椭', '橺', '樃', '𣞽', '欄']"
𣛩,"['栓', '柽', '桎', '𣠑', '榕', '𣠺', '𣛱', '𣓆', '橙', '榁', '𢲼', '槎', '棧', '褣', '椶', '梣', '𣙫', '褡', '榉', '柱']"
𣛪,"['𣟩', '槓', '檳', '楨', '橑', '橺', '棍', '𧛼', '𦹶', '顂', '櫍', '榔', '櫝', '㯮', '𧝩', '櫛', '檝', '槕', '榠', '樻']"
𣛭,"['椭', '橺', '榔', '𢵋', '橑', '梆', '櫧', '𣞽', '楷', '楮', '槨', '椅', '橢', '櫚', '棬', '𣞍', '𣙦', '𣗓', '𣛱', '柑']"
𣛯,"['槛', '榓', '楹', '盗', '𥂉', '𢱔', '搤', '𥜓', '褴', '𡎛', '𢞂', '盜', '𢝙', '檻', '㨕', '𥋕', '𥔦', '襤', '篮', '笽']"
𣛱,"['橬', '檳', '樆', '櫡', '櫅', '𣖞', '橙', '槢', '榙', '𥠻', '檣', '梧', '榿', '𣞍', '椅', '楁', '橧', '蓨', '椁', '楷']"
𣜋,"['鶇', '𪃛', '鴸', '鵓', '碼', '駷', '鵜', '鶺', '鴰', '駯', '鵣', '𪄸', '鷾', '鶉', '鶶', '鴺', '鵲', '鶊', '𪄤', '鸛']"
𣜰,"['𧞋', '槏', '𦧷', '慊', '燫', '搛', '镰', '㾾', '尲', '稴', '濂', '熑', '䁠', '隒', '𥻧', '𢐎', '膁', '濓', '𤻑', '𥋲']"
𣜱,"['磮', '𣗾', '棆', '𣘈', '𢳳', '耣', '𧛈', '崙', '𧹪', '綸', '𣞂', '𠧍', '辖', '𢕸', '誅', '𣖢', '𠏥', '𣞊', '繕', '綌']"
𣜲,"['𢶿', '随', '槌', '𣔲', '楣', '𤚤', '循', '撾', '恂', '搥', '楯', '槓', '橺', '倦', '郁', '褙', '𢣇', '陏', '惛', '𢟔']"
𣜳,"['櫉', '𡑵', '欐', '欗', '橛', '櫥', '櫗', '橱', '葻', '𣟫', '榳', '楝', '𢶻', '欄', '椊', '𤀘', '檧', '𣟩', '𧁺', '栜']"
𣜴,"['𥣒', '𢷀', '𤀒', '𧛋', '棯', '惗', '𡀍', '癒', '懲', '憨', '愈', '蘝', '𨮋', '慾', '褕', '慫', '慰', '偸', '榆', '憶']"
𣜵,"['𧜺', '椃', '裭', '虓', '虢', '棿', '𣝅', '號', '榨', '𣠗', '榩', '榄', '槕', '梍', '𡀱', '樅', '琥', '𣟪', '檚', '棍']"
𣜶,"['檛', '𣿌', '楬', '𣔲', '榈', '榴', '𢣄', '𣜲', '𣐝', '極', '𣑌', '櫩', '偈', '恟', '櫚', '𣖜', '𢠉', '歇', '碣', '㯮']"
𣜷,"['僽', '懋', '愁', '𠿈', '𤎕', '㦄', '矁', '悡', '憼', '杺', '憇', '慫', '悉', '㥋', '𢚴', '𢙭', '𣛥', '想', '楸', '憊']"
𣜸,"['𣞶', '𥣐', '楎', '橝', '㮿', '樿', '檋', '檡', '𣠘', '槕', '槹', '㮔', '棹', '𣟄', '𥴙', '樶', '𣗑', '椑', '樽', '硨']"
𣜻,"['耨', '𣖢', '释', '𣖛', '漿', '褥', '𥟂', '𡘮', '棣', '𥟹', '跊', '埭', '𣞊', '𣢹', '颊', '殊', '梾', '𣘾', '槈', '縟']"
𣜾,"['𣠕', '𩅻', '渃', '𦼥', '𡪦', '𧹼', '豬', '𣠖', '菬', '渚', '藸', '赭', '𤀞', '菭', '櫫', '煮', '潴', '𣹓', '萿', '褚']"
𣜿,"['擛', '𢢲', '𡑢', '欀', '𣟄', '橫', '檁', '葉', '梀', '橈', '𣞾', '𣠓', '櫗', '葆', '横', '槿', '橂', '𢵭', '𣖧', '𧞤']"
𣝀,"['𢳝', '𡒫', '槨', '構', '𥢫', '㮮', '擲', '樽', '𢬱', '橈', '懄', '橫', '慟', '櫗', '𣼷', '橑', '檝', '𣞾', '橔', '橼']"
𣝅,"['榳', '𣔓', '棳', '𢸜', '𣙨', '𣟪', '椀', '槈', '𣔡', '擬', '械', '桢', '槸', '椷', '㭽', '𢯏', '雂', '橑', '機', '懝']"
𣝉,"['襨', '𢷮', '對', '𣗒', '𢭰', '𣝀', '梆', '𦆹', '拊', '榉', '坿', '𢙪', '樹', '柎', '𢲥', '嚉', '𢟙', '柠', '槨', '濧']"
𣝴,"['槡', '蠜', '攀', '襻', '櫒', '棼', '梺', '桳', '栙', '榟', '楺', '鞪', '橭', '椊', '舝', '楑', '窣', '欎', '榉', '褬']"
𣞁,"['㩞', '𣖧', '㦗', '𠓐', '榮', '檪', '㮠', '爃', '𣔟', '垛', '儝', '㦓', '㯲', '㩒', '桗', '柋', '橼', '槕', '𤑬', '惵']"
𣞂,"['𣠱', '檽', '𣞍', '樽', '檐', '橕', '樳', '惓', '㭳', '櫝', '𣛟', '檮', '櫍', '𢣆', '𢙵', '槣', '棕', '𣟂', '橑', '禱']"
𣞃,"['驅', '慪', '謳', '𦟾', '彄', '𥕥', '瞘', '塸', '𢤛', '貙', '啒', '砸', '䁘', '堀', '樞', '鄑', '𦚗', '傴', '憴', '𥐔']"
𣞄,"['檜', '襘', '𢶒', '禬', '𥖩', '穞', '穭', '糩', '槍', '𡑭', '璯', '捨', '繪', '𥳓', '旝', '給', '摿', '棇', '橹', '橧']"
𣞅,"['𨃵', '联', '𣈚', '𠓇', '腲', '朕', '隈', '𧶫', '腂', '聅', '𣉍', '昳', '顆', '羪', '𥇺', '磤', '貾', '瞡', '𦜀', '𡂯']"
𣞊,"['樽', '綧', '蹲', '𣖢', '撙', '𢢲', '橕', '埭', '僊', '罈', '繜', '琮', '練', '㙩', '馐', '縳', '㭳', '殊', '緯', '馍']"
𣞍,"['𣖜', '㯮', '𣛱', '𠏲', '櫚', '橝', '樽', '橬', '槣', '𣘓', '櫊', '𣞂', '𣠱', '𣘁', '槢', '梧', '檡', '𣛭', '橺', '檐']"
𣞎,"['𣠩', '橀', '蓝', '磕', '榏', '榼', '灆', '槛', '𣡓', '褴', '𢺝', '谥', '楹', '𣖠', '榓', '謚', '櫨', '檻', '𥔦', '𦲵']"
𣞪,"['纆', '桱', '梩', '墨', '嚜', '樫', '禋', '桯', '椌', '樘', '欞', '𪐾', '纒', '徑', '柽', '𦄿', '𣓆', '橅', '俓', '㮔']"
𣞶,"['檋', '攆', '𣜸', '楎', '榉', '㮔', '樟', '樥', '𣗑', '椲', '橫', '𣛟', '硨', '槎', '𥴙', '樺', '橂', '㭳', '橝', '楟']"
𣞻,"['𢤛', '襬', '𡓁', '𤳸', '擺', '褦', '𢟒', '矲', '犤', '罷', '𡳹', '𠤩', '㨢', '橍', '欏', '艞', '𣛣', '能', '樅', '𥭵']"
𣞽,"['槨', '𣛭', '椈', '櫚', '榔', '𢸞', '㯝', '桞', '椰', '梆', '㭨', '郴', '樽', '𣞍', '𣛣', '𣑌', '𣕃', '椭', '梛', '𣐲']"
𣞾,"['欀', '𧞤', '橂', '橫', '櫗', '棲', '穫', '檴', '樓', '權', '褸', '楆', '褄', '横', '樥', '𣜿', '𣝀', '擭', '櫃', '𣛟']"
𣟂,"['𢺔', '境', '𦪻', '櫝', '憶', '榱', '𡙴', '樻', '𡌿', '梘', '馍', '惊', '𢴓', '攬', '檳', '橑', '撌', '寬', '莧', '禎']"
𣟃,"['𠓔', '懜', '𤘂', '𣘃', '椤', '梦', '𤔻', '樽', '𦃮', '箩', '核', '夢', '𣞾', '秽', '桚', '橫', '檸', '萝', '儚', '椄']"
𣟄,"['檁', '槕', '檺', '橂', '楳', '𣜿', '欀', '檪', '櫀', '𣠘', '𢶸', '橑', '橝', '棟', '榱', '𤖡', '橫', '禖', '𢢲', '梀']"
𣟩,"['𣛪', '𣟫', '橛', '櫛', '椾', '櫅', '椀', '櫴', '橑', '榳', '械', '㭽', '櫉', '橱', '橄', '𣖚', '桢', '𣔤', '梀', '楩']"
𣟪,"['耨', '株', '橑', '槈', '𣝅', '榳', '𣙦', '樤', '槕', '褥', '棣', '桋', '𣙙', '橛', '榞', '槎', '𣟩', '梇', '榱', '楝']"
𣟫,"['𣠰', '橺', '槁', '𣟩', '櫥', '椾', '𥠮', '摘', '𥡘', '橗', '櫅', '楠', '櫚', '櫉', '欗', '稿', '揇', '橱', '椭', '樯']"
𣟭,"['榪', '𥽪', '鵂', '𧜗', '鳱', '㮧', '禡', '鴈', '𥡗', '𪁃', '樢', '䲨', '碼', '𤀙', '𡀴', '鳩', '㨶', '㯊', '鶉', '鴶']"
𣟮,"['𥢄', '繌', '𣙺', '䉤', '焂', '𥐐', '磉', '𥟹', '薂', '𧛉', '欵', '效', '傻', '懍', '矮', '𢠧', '檠', '殺', '獘', '敘']"
𣠑,"['槰', '𡓄', '橽', '𤑫', '漨', '𥴢', '篵', '篷', '𣓆', '權', '櫂', '槎', '𣛩', '𣔦', '槯', '𢸚', '跿', '𥶮', '𢲼', '倴']"
𣠒,"['𧺁', '𧺀', '𤗹', '㙩', '璿', '隸', '繇', '𣞊', '瀋', '𥢉', '𧄈', '辎', '類', '繙', '𤖡', '𣟄', '榇', '糅', '檪', '檺']"
𣠓,"['標', '褾', '檩', '穠', '檂', '橫', '慓', '櫶', '摽', '檸', '𣜿', '橴', '檦', '橝', '襟', '櫗', '檡', '禯', '𢢲', '𣟄']"
𣠕,"['𣜾', '藸', '𧹼', '𣠖', '泰', '赭', '豬', '蓊', '焘', '恭', '𩅻', '𢂜', '𢂞', '赤', '褎', '鯗', '秦', '藜', '𧹻', '菾']"
𣠖,"['𣠕', '𠤌', '𧹼', '𣜾', '誄', '藷', '譱', '耇', '𣠶', '蕎', '𩅻', '𣚮', '諾', '誊', '請', '善', '誵', '靠', '𣌆', '耈']"
𣠗,"['𢹾', '𢵴', '槕', '檰', '櫚', '㯝', '𢹩', '橑', '樶', '棉', '槨', '榩', '𣟪', '棍', '𣞽', '檐', '櫆', '𣟄', '櫞', '檽']"
𣠘,"['橑', '槹', '檳', '檡', '橝', '𣟄', '槔', '樔', '槕', '檁', '橕', '𤖡', '樽', '𣛟', '懍', '𦹶', '模', '撩', '𡒫', '㙩']"
𣠩,"['𣡓', '𣞎', '檻', '灆', '櫨', '橀', '榼', '槛', '𥍍', '楹', '榏', '褴', '藴', '𣖠', '𢺝', '蓝', '磕', '盐', '萾', '橻']"
𣠰,"['橺', '櫚', '𣟫', '𢥣', '櫛', '櫊', '橌', '櫩', '褶', '槁', '稿', '憪', '𣛣', '橘', '𣖟', '橁', '箱', '椆', '棔', '椭']"
𣠱,"['橬', '櫅', '𣞂', '𣞍', '𣛱', '檐', '𧃌', '檳', '𣠺', '𣚽', '檽', '𣖞', '樽', '櫿', '𢣅', '權', '𣠑', '悋', '𢹽', '褡']"
𣠲,"['禮', '𢹿', '𡓾', '梪', '𣞽', '槾', '檉', '𣙫', '櫪', '櫚', '𣐝', '欄', '椳', '桯', '𣗿', '椈', '郴', '橝', '榿', '櫃']"
𣠳,"['襜', '䄡', '舚', '𥴢', '譫', '謔', '𥶮', '聸', '𥴛', '頯', '寣', '檐', '旞', '豷', '擔', '磋', '穦', '顙', '頽', '礢']"
𣠶,"['𧺃', '𧺂', '窺', '覩', '𧹼', '𨇛', '𣠖', '䌫', '𣜾', '𨅂', '誽', '𥣧', '㰖', '𣠕', '親', '赬', '頮', '欖', '穨', '穎']"
𣠺,"['椶', '𢴉', '𢜡', '蒣', '椄', '𣘽', '檳', '檡', '櫝', '𢤝', '𢙵', '㮈', '懷', '棳', '棧', '㤥', '柊', '榽', '𦵠', '偻']"
𣡓,"['𣠩', '檻', '櫨', '𥍍', '榼', '灆', '㩜', '盐', '𣞎', '楹', '藍', '橀', '襤', '𣠰', '檽', '篮', '𢺝', '藴', '𦡶', '褴']"
𣡙,"['顆', '𣛤', '髁', '躶', '裸', '棵', '颗', '懶', '課', '檪', '櫴', '椳', '綶', '鏁', '𡓡', '操', '锞', '獺', '攋', '𥌥']"
𣡚,"['巢', '𢀲', '𡚚', '果', '賴', '巣', '窠', '窼', '𣛤', '𠵩', '杲', '櫜', '𣋾', '罺', '𣡙', '𪓇', '槼', '𧁸', '臬', '𩆐']"
𣡝,"['檻', '𠑈', '𠚐', '䁻', '㦡', '𣗱', '璼', '糮', '衃', '龢', '襤', '𩁱', '欰', '𠣛', '𣡓', '樑', '嚂', '裇', '濼', '褴']"
𣡤,"['𡔒', '𥘀', '𤓢', '𣟄', '欜', '欀', '櫀', '樼', '櫋', '樏', '樶', '穓', '檁', '槕', '橂', '𩟻', '櫌', '𣛜', '𢶸', '橾']"
𣡯,"['機', '譏', '耭', '穖', '𣘓', '璣', '𥖔', '僟', '摆', '棧', '嘰', '鞿', '搩', '幾', '揆', '𢷏', '靆', '禨', '畿', '撳']"
𣡹,"['撼', '懒', '𥩇', '㦄', '𧃽', '櫶', '𤺯', '癞', '㯖', '攄', '𣜴', '欃', '癒', '繐', '應', '幰', '𥵖', '橛', '懲', '瘛']"
𣢹,"['赥', '欸', '欻', '欷', '欬', '欵', '𡘮', '𧚠', '效', '𠓩', '棣', '熬', '钦', '砍', '敖', '祓', '𢙩', '坎', '软', '耚']"
𣥱,"['埂', '歧', '洩', '頉', '馊', '墳', '𣷱', '頓', '陕', '𠝫', '惓', '圾', '坡', '𥟹', '怏', '鼔', '跩', '㙤', '豉', '愺']"
𣦆,"['𥟹', '𣥱', '豉', '聗', '庭', '庋', '𣦰', '廷', '延', '汲', '敇', '㡴', '𧝦', '破', '殁', '𢾖', '碱', '馐', '𧙼', '𥝥']"
𣦍,"['泟', '柾', '怔', '𧣠', '𥄬', '伍', '𦙫', '钲', '聇', '眐', '证', '𨀎', '垃', '泣', '冱', '𢘮', '𥄨', '𣦓', '诬', '䟬']"
𣦎,"['𠶤', '埫', '𥊣', '㫾', '𣎃', '敝', '倘', '尚', '敞', '緔', '鋿', '鞝', '𥊢', '惝', '趟', '淌', '耥', '颅', '𣦛', '𡮵']"
𣦓,"['項', '瑱', '頃', '頙', '𠅳', '罆', '蹟', '蹎', '墳', '崱', '頉', '頊', '馐', '賾', '𤼸', '瞋', '頤', '嵿', '歵', '頓']"
𣦛,"['柾', '伍', '𣔥', '征', '怔', '硁', '𣦍', '佂', '𣦓', '钲', '径', '尩', '椏', '𧣠', '𧙼', '𢘮', '位', '砼', '倘', '𦙫']"
𣦮,"['𨐸', '辣', '韤', '𥶁', '𣖢', '罅', '顇', '𠫏', '皷', '𣖛', '辭', '𡦧', '𠧆', '縅', '踤', '黻', '轅', '辦', '𧯵', '𥟹']"
𣦰,"['𣦆', '𥟹', '𦧜', '庭', '𢾖', '𠫏', '皷', '麬', '跛', '殱', '跿', '𤑫', '趢', '殿', '戱', '攊', '𪔡', '傶', '𣫕', '𠁝']"
𣨕,"['殆', '邵', '𨀊', '𠺥', '殂', '沼', '殞', '𢊫', '歿', '袑', '殁', '琚', '珣', '既', '琱', '聆', '瑉', '倨', '弨', '𨃐']"
𣨧,"['𣨭', '殯', '殉', '殞', '殖', '𤟂', '頦', '殆', '頠', '陏', '預', '殨', '殁', '顔', '湆', '𠦳', '循', '𤭵', '該', '箔']"
𣨭,"['𣨧', '殯', '顔', '𠦳', '顏', '殪', '頦', '頏', '碩', '殖', '殉', '頠', '疽', '殆', '𤵖', '預', '𤭵', '琬', '𢊫', '荀']"
𣨮,"['殍', '殪', '殁', '窪', '殡', '殘', '溼', '淫', '莛', '庭', '馐', '浧', '𡍛', '琬', '歿', '秀', '馑', '旌', '洷', '滢']"
𣨰,"['笼', '毙', '𠜭', '珑', '𣩂', '託', '𩠔', '𢯥', '撓', '𡥵', '捻', '牦', '訏', '孰', '𡱩', '詵', '𢭜', '㧌', '挚', '托']"
𣩁,"['𣩂', '穽', '毙', '缛', '訝', '𣨰', '筓', '轿', '漿', '𠜭', '𣩸', '裂', '弈', '𥱰', '殁', '笄', '務', '𢂬', '篵', '簖']"
𣩂,"['𣩁', '𣨰', '毙', '𣩸', '𡥵', '埃', '势', '裂', '箷', '馐', '笼', '𦄃', '護', '𢇉', '𢐊', '攲', '坊', '龂', '坜', '𥱰']"
𣩦,"['𠨪', '磽', '蹺', '㚁', '殑', '𤃤', '翹', '繞', '憢', '遶', '𡗉', '𦈂', '琬', '燒', '堯', '殘', '僥', '兢', '趬', '𢌌']"
𣩸,"['𣨰', '𣩂', '毙', '斃', '裂', '夞', '𠃷', '𣩁', '甓', '疑', '勢', '磁', '護', '惇', '磋', '瑏', '塾', '碗', '礙', '誘']"
𣫂,"['轂', '赾', '軗', '毂', '戟', '載', '軙', '觳', '軷', '韍', '嗀', '瑴', '鞕', '𨋌', '䍍', '皼', '皷', '輘', '轅', '鼔']"
𣫃,"['𣫅', '豰', '瑴', '䍍', '毂', '漐', '彀', '敳', '亄', '敱', '摰', '褺', '觳', '摮', '䔻', '彠', '馼', '薣', '臷', '毅']"
𣫅,"['觳', '𣫃', '䍍', '瑴', '彀', '豰', '殼', '漐', '殻', '嗀', '毂', '亄', '鷇', '彠', '護', '籖', '縠', '𣫂', '嶻', '藢']"
𣫕,"['殿', '爥', '嚴', '𡻕', '𢩜', '屣', '顣', '殨', '屐', '嶡', '霵', '叞', '廏', '熝', '灟', '篾', '蕆', '𢾖', '戚', '歔']"
𣫠,"['鷇', '彀', '𪀐', '𩿙', '歍', '鴤', '觳', '鷚', '鷧', '騺', '鴛', '鴱', '鷾', '𪅥', '鷑', '𩾛', '鵕', '鷙', '鵽', '窵']"
𣫲,"['埼', '埒', '侾', '荇', '筕', '𢯗', '得', '捋', '恃', '俘', '𢫡', '挣', '𡋥', '埩', '琦', '𢝜', '待', '撂', '擣', '揨']"
𣫷,"['锌', '铮', '锋', '𢏑', '𧸝', '𣖢', '撁', '𢬧', '锵', '镎', '幹', '铎', '辖', '挥', '𢭂', '𣭰', '驿', '垶', '羚', '垟']"
𣭃,"['𩠔', '𣭻', '眊', '𣭲', '𨀼', '毦', '𣭛', '泅', '𦚖', '瓯', '𦙤', '酕', '䀨', '𥆂', '垞', '赴', '陆', '舐', '怭', '𣶈']"
𣭛,"['圪', '讫', '陀', '𠖯', '垞', '䇄', '坨', '毬', '扢', '咤', '迂', '𣭯', '孖', '𠃷', '迱', '眨', '钌', '仡', '抸', '毡']"
𣭜,"['珝', '𢪥', '孤', '汒', '翔', '诩', '翊', '𣭛', '逦', '豗', '犯', '翅', '𨔌', '毜', '澠', '佣', '圽', '毡', '沚', '伵']"
𣭯,"['毧', '毬', '毡', '趚', '𣭛', '玞', '尭', '毽', '𠫳', '陆', '趢', '焋', '埭', '毯', '跠', '赽', '趂', '趈', '瑀', '跿']"
𣭰,"['𣭯', '𣭻', '𣮇', '辖', '锌', '𣫷', '𡦧', '䋃', '砗', '𠬉', '耗', '拜', '𠑋', '𦈣', '𣯡', '轱', '铽', '毬', '牮', '𢯗']"
𣭲,"['𩠔', '𣯡', '𡥵', '毦', '預', '眊', '𢐝', '𢲤', '頢', '酕', '𣭻', '瑀', '𢫅', '誦', '撋', '頊', '䀨', '訏', '塴', '𨁏']"
𣭻,"['毦', '跹', '眊', '跬', '𠄀', '跿', '圫', '𣭲', '毡', '𡥵', '瑀', '琨', '毭', '𣮇', '堒', '𢫅', '弫', '𨀼', '毴', '迕']"
𣮇,"['𣭻', '奘', '焋', '瑍', '埃', '跣', '块', '𣭰', '𡥵', '挺', '𡭻', '提', '玦', '𡥴', '𡱩', '珗', '𥏋', '𣭯', '跋', '𢯗']"
𣯡,"['𣭲', '𩠔', '𣰴', '𢲣', '𡏡', '耗', '氈', '㧌', '𡥵', '𢮏', '𣭯', '辘', '撓', '毷', '劸', '𨻫', '𣨰', '酕', '𢺤', '彟']"
𣰏,"['𢶟', '𧀐', '瑰', '𧥇', '𢢯', '𤮞', '𨀼', '𡗉', '塊', '魁', '𩱻', '𤀖', '魃', '𨇉', '𡥵', '搀', '瑀', '𠿯', '竀', '馐']"
𣰙,"['㦗', '梺', '𨭺', '㩒', '榚', '襟', '橅', '檽', '檼', '𦀴', '㯲', '綝', '橈', '𣞂', '綕', '凚', '蒄', '壒', '𣭯', '標']"
𣰳,"['𣰴', '𢹈', '𢥆', '𣯡', '璒', '箷', '𡏡', '墱', '𢲣', '琣', '瓗', '璸', '氆', '𥸓', '𣭲', '磴', '毰', '讁', '趥', '𨘗']"
𣰴,"['𣰳', '𣯡', '氄', '𢹈', '𢥆', '𣭲', '𩠔', '氈', '箷', '𣨰', '𡏡', '𢮏', '𠨪', '𡓄', '𢲣', '擿', '耗', '氍', '墱', '託']"
𣰵,"['隴', '攏', '徿', '瀧', '瓏', '矓', '䏊', '曨', '鼊', '寵', '櫳', '龎', '儱', '巃', '贚', '龓', '礲', '壠', '龍', '𦒮']"
𣱆,"['柢', '胝', '𦨢', '舐', '诋', '阺', '阪', '㫝', '邸', '秪', '㤇', '帆', '秖', '坻', '弤', '肽', '𧿑', '祗', '迅', '祇']"
𣱬,"['豨', '郗', '欷', '櫲', '旊', '頹', '筛', '旒', '礒', '絺', '𧁺', '𥶳', '旈', '襖', '頽', '愾', '祿', '締', '𦄴', '襛']"
𣱭,"['氯', '氡', '氣', '氮', '氛', '氧', '氨', '𤒢', '氭', '氬', '震', '裒', '氫', '宸', '寫', '彙', '氦', '賔', '襃', '原']"
𣱰,"['氧', '氮', '氡', '氨', '氫', '𣱭', '氯', '氬', '氩', '氛', '氖', '氪', '籎', '氣', '氭', '気', '𩆷', '氞', '寲', '嶷']"
𣱶,"['讣', '扑', '少', '汴', '沚', '卟', '仆', '补', '𢗽', '𢗾', '圤', '呌', '习', '汒', '疒', '㣺', '忄', '𢗸', '刁', '汈']"
𣱼,"['诩', '忉', '汎', '沏', '仞', '汿', '汒', '𣱽', '讱', '汅', '讻', '氻', '汲', '肕', '泌', '沚', '沈', '氿', '汈', '𠂫']"
𣱽,"['泓', '𣼶', '𢖱', '㳉', '湡', '泻', '汎', '𠂫', '𣱼', '泌', '泚', '渦', '润', '沏', '𣼱', '𣳔', '汋', '逊', '潤', '混']"
𣱾,"['𠖭', '汒', '汈', '刁', '𧾿', '辽', '𤽀', '𠮩', '邳', '汇', '邝', '勺', '瓜', '邙', '沚', '叼', '泣', '𣱼', '习', '汴']"
𣱿,"['汄', '认', '込', '从', '叺', '入', '汃', '以', '丛', '闪', '弘', '汎', '仏', '泣', '汒', '队', '勺', '𥃱', '瓜', '𣱼']"
𣲆,"['汜', '氾', '𠖰', '𠖯', '忋', '𡉏', '泛', '𢩽', '沾', '汒', '圮', '𢩵', '仡', '汔', '讫', '庀', '犯', '浢', '𡉾', '汇']"
𣲍,"['𣱼', '还', '瓦', '沉', '宄', '刅', '亦', '汒', '阨', '宂', '庀', '泬', '𠖈', '瓜', '仞', '邳', '𠖯', '泣', '汿', '汅']"
𣲠,"['汐', '沥', '汲', '𣱼', '浢', '𣱽', '浮', '𢗚', '汚', '浔', '泛', '沪', '汿', '冺', '𢪰', '淁', '汓', '溽', '溟', '㳉']"
𣲦,"['笒', '麥', '笗', '兹', '笭', '该', '岑', '爹', '迻', '纹', '岺', '述', '汆', '変', '绞', '篸', '癹', '笅', '缪', '终']"
